WARMING UP...
Loading checkpoint weights from: /DATA/Documents/ai_controlled_car/src/ai_car_control/weights/simple_train.cnn.weights.499.h5....
---> SUCCESS
MODEL BUILDED...
steering --> [[90.81302]]
steering --> [[93.91902]]
steering --> [[95.990265]]
steering --> [[81.86971]]
steering --> [[86.809944]]
steering --> [[82.66898]]
steering --> [[73.29666]]
steering --> [[81.15068]]
steering --> [[85.05144]]
steering --> [[83.49143]]
steering --> [[79.83195]]
steering --> [[76.086876]]
steering --> [[75.013954]]
steering --> [[78.773476]]
steering --> [[83.41733]]
steering --> [[86.57797]]
steering --> [[84.90008]]
steering --> [[80.82262]]
steering --> [[76.45188]]
steering --> [[76.27477]]
steering --> [[71.16251]]
steering --> [[65.08676]]
steering --> [[75.19535]]
steering --> [[81.03372]]
steering --> [[80.10312]]
steering --> [[74.18521]]
steering --> [[84.96572]]
steering --> [[90.78649]]
steering --> [[91.489975]]
steering --> [[95.3893]]
steering --> [[96.42844]]
steering --> [[91.61058]]
steering --> [[91.61269]]
steering --> [[80.88831]]
steering --> [[88.76902]]
steering --> [[87.33338]]
steering --> [[80.18815]]
steering --> [[86.09705]]
steering --> [[88.546425]]
steering --> [[92.856865]]
steering --> [[98.57684]]
steering --> [[94.87178]]
steering --> [[88.12007]]
steering --> [[92.222855]]
steering --> [[90.500175]]
steering --> [[90.0951]]
steering --> [[89.97012]]
steering --> [[91.356674]]
steering --> [[100.74302]]
steering --> [[102.22436]]
steering --> [[107.736206]]
steering --> [[110.1753]]
steering --> [[108.830795]]
steering --> [[112.01943]]
steering --> [[112.23319]]
steering --> [[112.898834]]
steering --> [[117.26369]]
steering --> [[103.93149]]
steering --> [[102.07288]]
steering --> [[96.098656]]
steering --> [[83.79042]]
steering --> [[81.08502]]
steering --> [[90.8146]]
steering --> [[91.3973]]
steering --> [[93.904]]
steering --> [[82.97694]]
steering --> [[76.0177]]
steering --> [[79.020454]]
steering --> [[83.61775]]
steering --> [[82.94377]]
steering --> [[88.61137]]
steering --> [[80.53905]]
steering --> [[83.35672]]
steering --> [[81.28682]]
steering --> [[78.85656]]
steering --> [[82.60619]]
steering --> [[88.53514]]
steering --> [[79.761055]]
steering --> [[75.20568]]
steering --> [[76.01008]]
steering --> [[83.07153]]
steering --> [[84.288765]]
steering --> [[86.75678]]
steering --> [[87.40483]]
steering --> [[87.670235]]
steering --> [[87.94007]]
steering --> [[90.70865]]
steering --> [[94.94837]]
steering --> [[93.3859]]
steering --> [[92.97302]]
steering --> [[89.9586]]
steering --> [[89.91584]]
steering --> [[86.70723]]
steering --> [[90.19929]]
steering --> [[91.995834]]
steering --> [[96.21533]]
steering --> [[100.036064]]
steering --> [[100.24264]]
steering --> [[101.85348]]
steering --> [[101.90234]]
steering --> [[102.02993]]
steering --> [[100.047585]]
steering --> [[99.13585]]
steering --> [[93.58663]]
steering --> [[103.18265]]
steering --> [[102.871666]]
steering --> [[101.62164]]
steering --> [[92.895004]]
steering --> [[95.50096]]
steering --> [[88.8218]]
steering --> [[72.73626]]
steering --> [[65.05153]]
steering --> [[72.36692]]
steering --> [[81.36053]]
steering --> [[75.24723]]
steering --> [[69.18168]]
steering --> [[70.32015]]
steering --> [[68.35819]]
steering --> [[72.852776]]
steering --> [[83.50974]]
steering --> [[87.00354]]
steering --> [[70.51295]]
steering --> [[72.03965]]
steering --> [[72.6339]]
steering --> [[87.51607]]
steering --> [[86.21441]]
steering --> [[71.09944]]
steering --> [[63.578526]]
steering --> [[70.229034]]
steering --> [[79.677864]]
steering --> [[81.19269]]
steering --> [[86.79309]]
steering --> [[84.81351]]
steering --> [[76.33246]]
steering --> [[76.32577]]
steering --> [[83.63541]]
steering --> [[84.71825]]
steering --> [[82.774284]]
steering --> [[80.572395]]
steering --> [[85.41577]]
steering --> [[86.79815]]
steering --> [[88.47069]]
steering --> [[82.25219]]
steering --> [[92.946556]]
steering --> [[96.71452]]
steering --> [[102.76616]]
steering --> [[95.399155]]
steering --> [[103.85917]]
steering --> [[108.70074]]
steering --> [[107.39162]]
steering --> [[115.84705]]
steering --> [[101.600845]]
steering --> [[102.20918]]
steering --> [[94.42669]]
steering --> [[88.2024]]
steering --> [[87.44593]]
steering --> [[95.687294]]
steering --> [[82.8808]]
steering --> [[82.0723]]
steering --> [[76.625435]]
steering --> [[73.3391]]
steering --> [[66.210396]]
steering --> [[74.114365]]
steering --> [[85.09755]]
steering --> [[90.943665]]
steering --> [[90.68487]]
steering --> [[81.7819]]
steering --> [[81.805]]
steering --> [[81.219574]]
steering --> [[84.151955]]
steering --> [[83.683105]]
steering --> [[90.27292]]
steering --> [[94.42582]]
steering --> [[91.88725]]
steering --> [[92.94949]]
steering --> [[87.7783]]
steering --> [[84.57701]]
steering --> [[81.40435]]
steering --> [[74.9497]]
steering --> [[83.254234]]
steering --> [[93.29714]]
steering --> [[94.59694]]
steering --> [[108.79449]]
steering --> [[85.84688]]
steering --> [[83.03949]]
steering --> [[84.424644]]
steering --> [[79.21004]]
steering --> [[79.532555]]
steering --> [[79.90018]]
steering --> [[82.509834]]
steering --> [[78.0415]]
steering --> [[74.65531]]
steering --> [[80.445526]]
steering --> [[74.76031]]
steering --> [[84.21105]]
steering --> [[90.70201]]
steering --> [[84.67968]]
steering --> [[88.24875]]
steering --> [[80.0126]]
steering --> [[82.555016]]
steering --> [[83.92972]]
steering --> [[92.96892]]
steering --> [[91.66126]]
steering --> [[91.61502]]
steering --> [[91.05028]]
steering --> [[78.88048]]
steering --> [[82.348076]]
steering --> [[74.4928]]
steering --> [[79.39746]]
steering --> [[94.99039]]
steering --> [[93.67358]]
steering --> [[72.42162]]
steering --> [[83.41742]]
steering --> [[83.0738]]
steering --> [[78.85686]]
steering --> [[81.11156]]
steering --> [[86.06146]]
steering --> [[92.4458]]
steering --> [[87.2185]]
steering --> [[95.11179]]
steering --> [[95.56148]]
steering --> [[88.30336]]
steering --> [[95.740005]]
steering --> [[92.845276]]
steering --> [[99.22662]]
steering --> [[87.6207]]
steering --> [[84.83852]]
steering --> [[96.65722]]
steering --> [[104.06853]]
steering --> [[101.29773]]
steering --> [[98.91002]]
steering --> [[100.8616]]
steering --> [[90.71646]]
steering --> [[81.20282]]
steering --> [[82.92861]]
steering --> [[87.69494]]
steering --> [[68.48485]]
steering --> [[61.052666]]
steering --> [[77.572914]]
steering --> [[71.07167]]
steering --> [[81.68783]]
steering --> [[87.63629]]
steering --> [[79.66831]]
steering --> [[77.51369]]
steering --> [[77.75667]]
steering --> [[74.55822]]
steering --> [[89.341736]]
steering --> [[78.0126]]
steering --> [[84.27009]]
steering --> [[90.66719]]
steering --> [[100.133675]]
steering --> [[97.71785]]
steering --> [[88.77026]]
steering --> [[88.88319]]
steering --> [[90.07164]]
steering --> [[86.94031]]
steering --> [[85.97201]]
steering --> [[87.00754]]
steering --> [[85.53546]]
steering --> [[79.98982]]
steering --> [[79.00643]]
steering --> [[86.12198]]
steering --> [[79.57312]]
steering --> [[90.25438]]
steering --> [[79.616905]]
steering --> [[75.02786]]
steering --> [[82.14956]]
steering --> [[81.071266]]
steering --> [[75.50842]]
steering --> [[85.40652]]
steering --> [[89.820885]]
steering --> [[83.039505]]
steering --> [[82.33041]]
steering --> [[87.731674]]
steering --> [[87.55991]]
steering --> [[85.52238]]
steering --> [[83.26594]]
steering --> [[84.712006]]
steering --> [[90.172134]]
steering --> [[81.06466]]
steering --> [[84.008194]]
steering --> [[85.3932]]
steering --> [[94.52285]]
steering --> [[84.12648]]
steering --> [[89.9148]]
steering --> [[91.61414]]
steering --> [[86.35061]]
steering --> [[91.13825]]
steering --> [[89.66013]]
steering --> [[89.40361]]
steering --> [[81.80121]]
steering --> [[83.82086]]
steering --> [[88.52936]]
steering --> [[89.23316]]
steering --> [[94.86132]]
steering --> [[99.35315]]
steering --> [[102.335976]]
steering --> [[107.15521]]
steering --> [[104.22615]]
steering --> [[94.88764]]
steering --> [[88.90973]]
steering --> [[86.74012]]
steering --> [[86.431]]
steering --> [[91.76341]]
steering --> [[82.03119]]
steering --> [[84.75371]]
steering --> [[76.55328]]
steering --> [[84.700455]]
steering --> [[84.884254]]
steering --> [[88.85064]]
steering --> [[82.854126]]
steering --> [[89.67161]]
steering --> [[78.88887]]
steering --> [[68.46159]]
steering --> [[66.79062]]
steering --> [[80.15942]]
steering --> [[83.53184]]
steering --> [[82.16332]]
steering --> [[89.546715]]
steering --> [[91.42509]]
